 [ 9.00876988e-01  1.24077659e+00]
 [ 9.18292034e-01  1.23431090e+00]
 [ 9.33598526e-01  1.22487899e+00]
 [ 9.44496799e-01  1.20973376e+00]
 [ 9.73697259e-01  1.21767141e+00]
 [ 9.83562791e-01  1.20110069e+00]
 [ 1.01358452e+00  1.20880620e+00]
 [ 1.02469832e+00  1.19358781e+00]
 [ 1.03879856e+00  1.18191908e+00]
 [ 1.06297859e+00  1.18143448e+00]
 [ 1.07709413e+00  1.16947927e+00]
 [ 1.09314329e+00  1.15954905e+00]
 [ 1.11490092e+00  1.15540797e+00]
 [ 1.14803664e+00  1.16238577e+00]
 [ 1.15447733e+00  1.14203211e+00]
 [ 1.17226447e+00  1.13295936e+00]
 [ 3.97091034e-01  3.74944175e-01]
 [ 3.70532974e-01  3.41804422e-01]
 [ 3.73438336e-01  3.36530902e-01]
 [ 3.60411156e-01  3.17274290e-01]
 [ 3.55068433e-01  3.05315631e-01]
 [ 3.60452455e-01  3.02725682e-01]
 [ 3.45071151e-01  2.83029939e-01]
 [ 3.55115444e-01  2.84425103e-01]
 [ 3.71747832e-01  2.90715075e-01]
 [ 3.59840932e-01  2.74719998e-01]
 [ 3.70360956e-01  2.75993565e-01]
 [ 3.76197017e-01  2.73596151e-01]
 [ 3.70014679e-01  2.62575656e-01]
 [ 3.52036648e-01  2.43712144e-01]
 [ 3.46446878e-01  2.33929666e-01]
 [ 3.82863702e-01  2.52086809e-01]
 [ 3.76300116e-01  2.41539131e-01]
 [ 3.69471298e-01  2.31133383e-01]
 [ 3.80718629e-01  2.32053318e-01]
 [ 3.72963561e-01  2.21419269e-01]
 [ 3.78973838e-01  2.19067322e-01]
 [ 3.90132251e-01  2.19504472e-01]]
[[-1.90003870e+00  1.12800611e+00]
 [-1.88664641e+00  1.14993731e+00]
 [-1.85177699e+00  1.15843228e+00]
 [-1.83351797e+00  1.17689662e+00]
 [-1.82991162e+00  1.20485848e+00]
 [-1.78668833e+00  1.20641699e+00]
 [-1.77466900e+00  1.22858909e+00]
 [-1.75094192e+00  1.24253103e+00]
 [-1.71869895e+00  1.24995519e+00]
 [-1.70060363e+00  1.26729248e+00]
 [-1.68376553e+00  1.28546816e+00]
 [-1.68059395e+00  1.31426185e+00]
 [-1.66055592e+00  1.33000069e+00]
 [-1.62308361e+00  1.33126530e+00]
 [-1.60318005e+00  1.34642936e+00]
 [-1.58681545e+00  1.36446812e+00]
 [-1.55912858e+00  1.37251969e+00]
 [-1.55039772e+00  1.39716973e+00]
 [-1.54665098e+00  1.42673440e+00]
 [-1.51556383e+00  1.43103666e+00]
 [-1.50446637e+00  1.45402278e+00]
 [-1.47089996e+00  1.45504370e+00]
 [-1.44787366e+00  1.46597040e+00]
